County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misdemeanor,DWI Misdemeanor,Property Misdemeanor,Other Misdemeanor
Albany,2023,5597,2374,248,567,100,1459,3223,222,546,1034,1421
Allegany,2023,846,271,25,83,25,138,575,74,143,115,243
Broome,2023,4730,1549,207,390,52,900,3181,489,340,1250,1102
Cattaraugus,2023,1789,610,110,126,33,341,1179,175,234,390,380
Cayuga,2023,1209,425,37,74,28,286,784,43,133,256,352
Chautauqua,2023,3681,1243,228,235,42,738,2438,424,303,778,933
Chemung,2023,1962,599,66,143,34,356,1363,251,174,455,483
Chenango,2023,780,251,33,57,15,146,529,79,45,182,223
Clinton,2023,1413,432,70,87,25,250,981,187,169,350,275
Columbia,2023,1014,305,43,46,45,171,709,66,285,172,186
Cortland,2023,1128,345,34,71,17,223,783,98,103,287,295
Delaware,2023,652,192,20,42,13,117,460,31,127,111,191
Dutchess,2023,3836,1230,161,232,124,713,2606,130,747,869,860
Erie,2023,14290,5393,691,1494,209,2999,8897,974,1431,3371,3121
Essex,2023,720,259,38,51,16,154,461,76,93,108,184
Franklin,2023,1157,474,107,102,14,251,683,100,71,223,289
Fulton,2023,998,401,86,92,15,208,597,103,112,121,261
Genesee,2023,1299,468,39,67,44,318,831,104,189,249,289
Greene,2023,1143,353,64,40,38,211,790,107,269,149,265
Hamilton,2023,38,13,1,6,2,4,25,4,10,1,10
Herkimer,2023,1111,308,30,55,24,199,803,77,106,352,268
Jefferson,2023,1778,577,109,92,31,345,1201,100,188,485,428
Lewis,2023,277,114,10,23,6,75,163,6,42,47,68
Livingston,2023,1159,383,58,47,39,239,776,121,142,175,338
Madison,2023,1141,354,39,70,21,224,787,87,149,294,257
Monroe,2023,10192,3731,298,1154,249,2030,6461,165,899,2901,2496
Montgomery,2023,1251,433,55,68,16,294,818,134,104,259,321
Nassau,2023,14186,5279,778,1316,162,3023,8907,1462,1268,2722,3455
Niagara,2023,4058,1445,207,326,80,832,2613,231,457,749,1176
Oneida,2023,4538,1137,103,258,39,737,3401,320,376,1485,1220
Onondaga,2023,9352,3828,274,1031,119,2404,5524,490,846,2223,1965
Ontario,2023,1483,605,42,97,59,407,878,48,208,295,327
Orange,2023,6479,1961,254,417,226,1064,4518,468,1247,1329,1474
Orleans,2023,614,225,22,42,12,149,389,15,60,134,180
Oswego,2023,2781,809,76,154,57,522,1972,175,305,783,709
Otsego,2023,1050,293,20,60,13,200,757,83,163,248,263
Putnam,2023,1104,272,31,42,48,151,832,83,378,84,287
Rensselaer,2023,2669,989,108,235,56,590,1680,112,217,617,734
Rockland,2023,3073,1000,57,272,61,610,2073,130,527,672,744
Saratoga,2023,3556,1149,169,176,92,712,2407,293,634,678,802
Schenectady,2023,3135,1080,60,265,35,720,2055,78,215,792,970
Schoharie,2023,332,120,18,18,15,69,212,19,42,50,101
Schuyler,2023,303,124,14,18,16,76,179,19,67,36,57
Seneca,2023,696,246,32,40,26,148,450,31,97,148,174
St. Lawrence,2023,1932,635,158,122,20,335,1297,225,197,492,383
Steuben,2023,1942,683,98,153,28,404,1259,163,183,354,559
Suffolk,2023,17676,4520,912,864,332,2412,13156,1913,2319,4204,4720
Sullivan,2023,1690,592,77,133,50,332,1098,105,295,380,318
Tioga,2023,583,210,33,42,15,120,373,55,84,68,166
Tompkins,2023,1137,397,29,117,22,229,740,72,113,281,274
Ulster,2023,3261,968,130,180,103,555,2293,227,675,573,818
Warren,2023,1633,513,62,82,30,339,1120,140,196,359,425
Washington,2023,1020,341,41,73,18,209,679,72,118,153,336
Wayne,2023,1198,439,18,97,34,290,759,26,143,304,286
Westchester,2023,11965,3995,335,1058,224,2378,7970,668,1633,2464,3205
Wyoming,2023,545,239,18,58,27,136,306,24,89,57,136
Yates,2023,218,80,8,17,8,47,138,7,46,30,55
