License Number,License Type,License Type Code,License Status,License Status Code,Issued Date,Effective Date,Expiration Date,Application Number,SEE Category,Entity Name,DBA,Location ID,Address Line 1,Address Line 2,City,State,Zip Code,County,Region,Latitude,Longitude,Business Website,Operational Status,Business Purpose,Tier Type,Processor Type,Cultivation Indoor,Cultivation Outdoor,Cultivation Mixed Light,Cultivation Combination,Cultivation Activities Drying Curing,Cultivation Activities Storage,Cultivation Activities Packaging,Cultivation Activities Waste Rendering,Processing Activities Extraction,Processing Activities Blending and Infusing,Processing Activities Packaging and Labeling,Processing Activities Branding,Retail Activities Sales with Delivery,Retail Activities Sales No Delivery,Retail Activities Non-Cannabis Products,Retail Activities Drive Thru,Retail Date Opened to Public,Hours of Operation,Primary Contact Name
OCM-RETL-25-000306,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,03/24/2025 12:00:00 AM,03/24/2025 12:00:00 AM,03/24/2027 12:00:00 AM,OCMRETL-2023-000090,"Women-Owned Business, Minority-Owned Business, Women-Owned Business, Minority-Owned Business",100 North 3rd Ltd,7 Leaf Clover,6B0AAD7E-35F3-4BDB-9FD0-27DA144727F3,100 N 3rd St,,Brooklyn,NY,11249,Kings,Brooklyn,40.71669858,-73.96276855,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,Jennifer Babaian
OCM-PROC-24-000096,Adult-Use Processor License,OCMPROC,Active,LICACT,09/12/2024 12:00:00 AM,09/12/2024 12:00:00 AM,09/12/2026 12:00:00 AM,OCMPROC-2023-000306,Women-Owned Business,10395727 NY LLC,,21850B90-81D6-415F-8D85-7D7D82B90D5C,,,,,,,,,,,Active,Adult-Use Processing,,"Type 3 - Packaging, Labeling, and Branding",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,Lori Gronman
OCM-RETL-24-000123,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,07/10/2024 12:00:00 AM,07/10/2024 12:00:00 AM,07/10/2026 12:00:00 AM,OCMRETL-2023-001433,,10415 Jamaica LLC,,D155D754-1104-4719-8246-CCEFF13033E8,172 State Route 94 South,,Warwick,NY,10990,Orange,Mid-Hudson,41.23645,-74.38672,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Jon-Eric Aben
OCM-RETL-25-000303,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,02/25/2025 12:00:00 AM,02/25/2025 12:00:00 AM,02/25/2027 12:00:00 AM,OCMRETL-2023-001318,"Women-Owned Business, Minority-Owned Business",10613 Northern LLC,,03F37735-6B0A-4A22-B8F0-7EED69A0EC04,10613 Northern Blvd,,Corona,NY,11368,Queens,Queens,40.758042,-73.862295,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Avie Li
OCM-CAURD-24-000177,Adult-Use Conditional Retail Dispensary License,OCMCAURD22,Active,LICACT,08/02/2024 12:00:00 AM,08/02/2024 12:00:00 AM,08/02/2026 12:00:00 AM,OCMCAURDP-2023-000228,,1106 REBECCA ST LIMITED LIABILITY COMPANY,HERBOLOGY,AAE611AD-4E99-4CB6-BBDD-4258BC4EBCA1,304 Ellery St,,Brooklyn,NY,11206,Kings,Brooklyn,,,,Active,Adult-Use Retail Dispensary,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11/19/2024 12:00:00 AM,Sun: 10:00 AM - 10:00 PM; Mon: 10:00 AM - 10:00 PM; Tues: 10:00 AM - 10:00 PM; Wed: 10:00 AM - 10:00 PM; Thurs: 10:00 AM - 10:00 PM; Fri: 10:00 AM - 11:00 PM; Sat: 10:00 AM - 11:00 PM,JOHN GUERCIA
OCM-RETL-24-000109,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,06/21/2024 12:00:00 AM,06/21/2024 12:00:00 AM,06/21/2026 12:00:00 AM,OCMRETL-2023-001824,Minority-Owned Business,115 Corner LLC,,DFDFD052-D81F-40DC-952A-5331DECB9D69,345 E 115th St,,New York,NY,10029,New York,Manhattan,40.7957,-73.93629,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Isa Brnja
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-002164,,1310 E223 PROPERTY NYC BRONX LLC,,0315C743-16BA-4244-9C1D-F98AFCF92422,352 East 23rd St,,New York,NY,10010,New York,Manhattan,40.74168,-73.992531,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Serin Philip
,Adult-Use Microbusiness License,OCMMICR,In-Process,Pending,,,,OCMMICR-2023-000611,,1399 Delta Inc,,456DAB80-A45A-42C2-BCFA-8583CBD0DDE2,,,,,,Kings,Brooklyn,,,,Non-Operational,Adult-Use Cultivation,MICROBUS_INDOOR,,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,Yousef Mugrabi
OCM-RETL-25-000304,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,02/25/2025 12:00:00 AM,02/25/2025 12:00:00 AM,02/25/2027 12:00:00 AM,OCMRETL-2023-001290,Minority-Owned Business,14707 45th LLC,,8764991E-892C-4644-B6F9-5EB8BD9DC769,14707 45th Ave,,Flushing,NY,11355,Queens,Queens,40.755654,-73.817641,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Wei Li
OCM-RETL-24-000138,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,07/16/2024 12:00:00 AM,07/16/2024 12:00:00 AM,07/16/2026 12:00:00 AM,OCMRETL-2023-002035,,1650 CRANE STREET DISPENSARY LLC,Grass & Goodness Cannabis Store,D5AD7F21-7846-41C1-9389-DAFE5BF09E7D,1650 Crane St Ste 1,,Schenectady,NY,12303,Schenectady,Capital District,42.78974162,-73.9450709,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10/18/2024 12:00:00 AM,Sun: 08:00 AM - 08:00 PM; Mon: Closed; Tues: 08:00 AM - 08:00 PM; Wed: 08:00 AM - 08:00 PM; Thurs: 08:00 AM - 08:00 PM; Fri: 08:00 AM - 08:00 PM; Sat: 08:00 AM - 08:00 PM,Anthony Guidarelli
OCM-CULT-24-000060,Adult-Use Cultivator License,OCMCULT,Active,LICACT,05/10/2024 12:00:00 AM,05/10/2024 12:00:00 AM,05/10/2026 12:00:00 AM,OCMCULT-2023-000154,,1821 Hemp LLC,,1FCCA0BB-C021-4F72-9F20-CF165A6D34EA,,,,,,Cortland,Central NY,,,,Active,Adult-Use Cultivation,CCULT_OUTDOOR_T4,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Todd Town
OCM-CULT-24-000165,Adult-Use Cultivator License,OCMCULT,Active,LICACT,09/12/2024 12:00:00 AM,09/12/2024 12:00:00 AM,09/12/2026 12:00:00 AM,OCMCULT-2023-000267,Minority-Owned Business,1HQ Inc,,289341B2-6792-49A8-89D3-77D75DF41C55,,,,,,Dutchess,Mid-Hudson,,,,Active,Adult-Use Cultivation,CULT_INDOOR_T1,,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,Edwin Perez
